season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,6,Kevin_De Bruyne_215,3,11,0.7477293610572815,0.8236373066902161,1,98,9.0,412503.0,1.0,215,De Bruyne,Kevin,De Bruyne,Kevin De Bruyne,Manchester City,manchestercity,74.77,0.0
2019-20,12,Kevin_De Bruyne_215,3,11,0.8416777849197388,0.9690925478935242,1,102,7.0,87013.0,1.0,215,De Bruyne,Kevin,De Bruyne,Kevin De Bruyne,Manchester City,manchestercity,84.17,0.0
2019-20,16,Kevin_De Bruyne_215,3,11,0.85694819688797,0.9169995188713074,1,103,19.0,42445.0,1.0,215,De Bruyne,Kevin,De Bruyne,Kevin De Bruyne,Manchester City,manchestercity,85.69,0.0
2019-20,17,Kevin_De Bruyne_215,3,11,0.8451941013336182,0.9850378632545472,1,102,4.0,442475.0,1.0,215,De Bruyne,Kevin,De Bruyne,Kevin De Bruyne,Manchester City,manchestercity,84.52,0.0
2019-20,3,Sergio_AgÃÂ¼ero_210,4,11,0.9161112308502196,0.9803088903427124,1,120,16.0,331914.0,1.0,210,Agüero,Sergio,Agüero,Sergio Agüero,Manchester City,manchestercity,91.61,0.0
2019-20,5,Sergio_AgÃÂ¼ero_210,4,11,0.9359015226364136,1.0,1,121,9.0,143263.0,1.0,210,Agüero,Sergio,Agüero,Sergio Agüero,Manchester City,manchestercity,93.59,1.0
2019-20,7,Sergio_AgÃÂ¼ero_210,4,11,0.8806954622268677,0.9825382232666016,1,122,2.0,64889.0,1.0,210,Agüero,Sergio,Agüero,Sergio Agüero,Manchester City,manchestercity,88.07,0.0
2019-20,11,Sergio_AgÃÂ¼ero_210,4,11,0.8647432327270508,1.0,1,121,2.0,18704.0,1.0,210,Agüero,Sergio,Agüero,Sergio Agüero,Manchester City,manchestercity,86.47,1.0
2019-20,12,Sergio_AgÃÂ¼ero_210,4,11,0.8645023107528687,0.9953722953796388,1,120,2.0,18445.0,1.0,210,Agüero,Sergio,Agüero,Sergio Agüero,Manchester City,manchestercity,86.45,0.0
2019-20,4,Ederson_Santana de Moraes_212,1,11,0.8361713437535603,0.9987313517843704,1,61,1.0,72978.0,1.0,212,Ederson,Ederson,Santana de Moraes,Ederson Santana de Moraes,Manchester City,manchestercity,83.62,0.0
2019-20,9,Ederson_Santana de Moraes_212,1,11,0.6411685418125211,0.9819112739562252,1,61,9.0,26409.0,1.0,212,Ederson,Ederson,Santana de Moraes,Ederson Santana de Moraes,Manchester City,manchestercity,64.12,0.0
2019-20,15,Ederson_Santana de Moraes_212,1,11,0.5761190035137282,0.7211189212750716,1,60,2.0,6420.0,1.0,212,Ederson,Ederson,Santana de Moraes,Ederson Santana de Moraes,Manchester City,manchestercity,57.61,0.0
2019-20,4,Oleksandr_Zinchenko_206,2,11,0.8372334985375453,1.0,1,55,1.0,188545.0,1.0,206,Zinchenko,Oleksandr,Zinchenko,Oleksandr Zinchenko,Manchester City,manchestercity,83.72,0.0
2019-20,4,Kyle_Walker_203,2,11,0.7668210903802339,0.9158987208702164,1,60,1.0,104540.0,1.0,203,Walker,Kyle,Walker,Kyle Walker,Manchester City,manchestercity,76.68,0.0
2019-20,15,Kyle_Walker_203,2,11,0.7989237094140358,1.0,1,58,0.0,9982.0,1.0,203,Walker,Kyle,Walker,Kyle Walker,Manchester City,manchestercity,79.89,0.0
2019-20,6,NicolÃÂ¡s_Otamendi_208,2,11,0.4808045654877726,0.5221520218609401,0,54,1.0,301082.0,1.0,208,Otamendi,Nicolás,Otamendi,Nicolás Otamendi,Manchester City,manchestercity,48.08,0.0
2019-20,7,NicolÃÂ¡s_Otamendi_208,2,11,0.4896457914271794,0.5620149851961619,0,55,1.0,108813.0,1.0,208,Otamendi,Nicolás,Otamendi,Nicolás Otamendi,Manchester City,manchestercity,48.96,0.0
2019-20,7,Riyad_Mahrez_217,3,11,0.8476178646087646,0.9456355571746826,1,85,1.0,441634.0,1.0,217,Mahrez,Riyad,Mahrez,Riyad Mahrez,Manchester City,manchestercity,84.76,0.0
2019-20,9,Gabriel Fernando_de Jesus_211,4,11,0.7710965871810913,0.8518375754356384,1,95,5.0,11859.0,1.0,211,Jesus,Gabriel Fernando,de Jesus,Gabriel Fernando de Jesus,Manchester City,manchestercity,77.11,0.0
2019-20,10,Gabriel Fernando_de Jesus_211,4,11,0.7757186293601991,0.9244064688682556,1,95,1.0,17840.0,1.0,211,Jesus,Gabriel Fernando,de Jesus,Gabriel Fernando de Jesus,Manchester City,manchestercity,77.57,0.0
2019-20,17,Fernando_Luiz Rosa_221,3,11,0.237137109041214,0.2763732373714447,-1,52,2.0,1479.0,0.0,221,Fernandinho,Fernando,Luiz Rosa,Fernando Luiz Rosa,Manchester City,manchestercity,23.71,0.0
2019-20,2,Teemu_Pukki_278,4,14,0.8429503440856934,0.9031079411506652,1,66,11.0,1030761.0,1.0,278,Pukki,Teemu,Pukki,Teemu Pukki,Norwich City,norwichcity,84.3,0.0
2019-20,6,Teemu_Pukki_278,4,14,0.7002642750740051,0.7713536620140076,1,71,2.0,171233.0,1.0,278,Pukki,Teemu,Pukki,Teemu Pukki,Norwich City,norwichcity,70.03,0.0
2019-20,11,Teemu_Pukki_278,4,14,0.7597322463989258,0.8785639405250549,1,69,2.0,40095.0,1.0,278,Pukki,Teemu,Pukki,Teemu Pukki,Norwich City,norwichcity,75.97,0.0
2019-20,3,Todd_Cantwell_287,3,14,0.676679253578186,0.7240983843803406,1,46,2.0,732227.0,1.0,287,Cantwell,Todd,Cantwell,Todd Cantwell,Norwich City,norwichcity,67.67,0.0
2019-20,4,Todd_Cantwell_287,3,14,0.26994356513023376,0.3094131350517273,-1,47,6.0,281589.0,1.0,287,Cantwell,Todd,Cantwell,Todd Cantwell,Norwich City,norwichcity,26.99,0.0
2019-20,9,Todd_Cantwell_287,3,14,0.572062611579895,0.6319628953933716,0,49,1.0,29850.0,1.0,287,Cantwell,Todd,Cantwell,Todd Cantwell,Norwich City,norwichcity,57.21,0.0
2019-20,7,Jamal_Lewis_276,2,14,0.5328375979983664,0.6115905007130992,1,45,0.0,1038.0,1.0,276,Lewis,Jamal,Lewis,Jamal Lewis,Norwich City,norwichcity,53.28,0.0
2019-20,11,Jamal_Lewis_276,2,14,0.7119966088696977,1.0,1,45,1.0,1815.0,1.0,276,Lewis,Jamal,Lewis,Jamal Lewis,Norwich City,norwichcity,71.2,0.0
2019-20,8,Kenny_McLean_286,3,14,0.17770591378211975,0.21970441937446594,-1,49,2.0,286.0,0.0,286,McLean,Kenny,McLean,Kenny McLean,Norwich City,norwichcity,17.77,0.0
2019-20,9,Maximillian_Aarons_274,2,14,0.6529801203210396,1.0,1,44,0.0,1203.0,1.0,274,Aarons,Maximillian,Aarons,Maximillian Aarons,Norwich City,norwichcity,65.3,0.0
2019-20,11,Ben_Godfrey_273,2,14,0.5798978072991141,0.8144670916617259,1,45,1.0,471.0,1.0,273,Godfrey,Ben,Godfrey,Ben Godfrey,Norwich City,norwichcity,57.99,0.0
